;frame_n;pred.obj_detection;fruit_id;pred.axis_01_px;pred.axis_02_px;pred.depth_mm;pred.axis_01_mm;pred.axis_02_mm;pred.weight_gr
0;0;0;0_0;58;53;1323.563;73.814;67.451;176.755
1;0;1;0_1;46;42;1458.627;64.516;58.906;133.984
2;0;2;0_2;55;48;1537.585;81.315;70.965;211.257
3;0;3;0_3;56;47;1491.750;80.325;67.416;206.705
4;0;4;0_5;50;49;1527.828;73.453;71.984;175.095
5;0;5;0_8;45;42;1378.689;59.655;55.678;111.622
6;0;6;0_9;65;53;1485.062;92.816;75.681;264.165
7;0;7;0_11;55;53;1273.366;67.341;64.893;146.981
8;0;8;0_12;59;54;1284.963;72.897;66.719;172.536
9;0;9;0_14;58;51;1512.643;84.359;74.178;225.261
10;0;10;0_18;52;50;1783.873;89.194;85.763;247.501
11;0;11;0_20;61;53;1404.489;82.379;71.575;216.152
12;0;12;0_22;49;45;1509.945;71.142;65.334;164.462
13;0;13;0_23;56;54;1455.372;78.366;75.567;197.694
14;0;14;0_24;49;40;1216.230;57.303;46.778;100.804
15;0;15;0_25;51;48;1566.305;76.809;72.291;190.532
16;0;16;0_31;44;43;1520.369;64.323;62.861;133.097
